RD_name,Start,Stop,Size,Rv
#RD9,2330000,2332100,2029,Rv2073c-2075c
RD711,1501713,1503655,1943,Rv1333-1336
RD702,216795,218516,1722,Rv0186
#RD4,1696200,1708800,12732,Rv1506c-1516c
#RD1bcg,4349600,4359000,9400,Rv3871-3879c
#RD1mic,4340400,4353500,13100,Rv3864-3871
#RD2seal,2221000,2222900,1901,Rv1978-1979c
#RD2bcg,2221100,2231800,10701,Rv1978-1988
#RD7,2208000,2220500,12719,Rv1964-1977
#RD8,4056800,4062600,5894,Rv3617-3623
#RD10,264700,266600,1902,Rv0221-0223
#RD12bov,3484700,3487500,2801,Rv3117-3121
#RD12can,3479400,3491800,12401,Rv3111-3126c
RD105,79567,83034,3468,Rv0071-0074
RD239,4092077,4092919,843,Rv3651
RD750,1710767,1711556,790,Rv1519-1520
RD142,1332182,1335033,2852,Rv1189-1192
RD150,1896862,1899349,2488,Rv1671-1674c
RD181,2535429,2536140,712,Rv2262c-2263
RD207,3120521,3127920,7400,Rv2814c-2820c
RD115,453364,455971,2608,Rv0376c-0378
RD122,669793,670964,1172,Rv0576
RD174,2237049,2240699,3651,Rv1992c-1997
RD182,2545194,2551674,6481,Rv2270-2280
RD183,2585853,2588770,2918,Rv2313c-2315c
RD193,2704306,2704807,502,Rv2406c-2407
RD219,3448504,3451396,2893,Rv3083-3085
RD724,2265112,2266239,1128,Rv2018-2019
RD726,3904958,3906706,1749,Rv3485c-3487c
RD761,1502787,1503881,1095,Rv1334-1336
7bp pks15/1,3296380,3296381,7,Rv2946c-2947c
RD11,3842239,3842769,530,Rv3425
RD1,4348827,4359782,10955,Rv3871-Rv3879c
RD2,2220908,2232219,11311,Rv1978-Rv1988
RD3,1779314,1788505,9191,Rv1573-Rv1586c
RD4,1695281,1708539,13258,Rv1505c-Rv1516c
RD5,2625888,2635592,9704,Rv2346c-Rv2353c
RD6,3842239,3845970,3731,Rv3425-Rv3428c
RD7,2207700,2220800,13100,Rv1964-Rv1977
RD8,4057733,4063249,5516,EphA-lpqG
RD9,2328974,2332879,3905,CobL-Rv2075
RD10,264067,267764,3697,Rv0221-Rv0223
RD11,2970123,2980818,10695,Rv2645-Rv2659c
RD12,3484809,3487711,2902,SseC-Rv3121
RD13,1402778,1406084,3306,Rv1255c-Rv1257c
RD14,1997418,2007766,10348,Rv1765c-Rv1773c
